country,countryLabel,governmentLabel,hdi,gdpPerCapita,continentLabel
http://www.wikidata.org/entity/Q712,Фиджи,,0.73,,Океания
http://www.wikidata.org/entity/Q928,Филиппины,республика,0.699,,Азия
http://www.wikidata.org/entity/Q33,Финляндия,парламентская республика,0.94,,Европа
http://www.wikidata.org/entity/Q142,Франция,смешанная республика,0.903,,Европа
http://www.wikidata.org/entity/Q224,Хорватия,республика,0.858,,Европа
http://www.wikidata.org/entity/Q929,Центральноафриканская Республика,,0.404,,Африка
http://www.wikidata.org/entity/Q657,Чад,,0.394,,Африка
http://www.wikidata.org/entity/Q236,Черногория,республика,0.832,,Европа
http://www.wikidata.org/entity/Q213,Чехия,парламентская республика,0.889,31707,Европа
http://www.wikidata.org/entity/Q298,Чили,демократическая республика,0.855,,Южная Америка
http://www.wikidata.org/entity/Q39,Швейцария,федеративная республика,0.962,,Европа
http://www.wikidata.org/entity/Q39,Швейцария,директориальная система,0.962,,Европа
http://www.wikidata.org/entity/Q34,Швеция,конституционная монархия,0.947,,Европа
http://www.wikidata.org/entity/Q34,Швеция,представительная демократия,0.947,,Европа
http://www.wikidata.org/entity/Q854,Шри-Ланка,республика,0.782,,Азия
http://www.wikidata.org/entity/Q736,Эквадор,республика,0.74,,Южная Америка
http://www.wikidata.org/entity/Q736,Эквадор,президентская республика,0.74,,Южная Америка
http://www.wikidata.org/entity/Q983,Экваториальная Гвинея,,0.596,,Африка
http://www.wikidata.org/entity/Q986,Эритрея,,0.492,,Африка
http://www.wikidata.org/entity/Q1050,Эсватини,абсолютная монархия,0.597,,Африка
http://www.wikidata.org/entity/Q191,Эстония,парламентская республика,0.89,23757.62,Европа
http://www.wikidata.org/entity/Q115,Эфиопия,федеративная республика,0.498,,Африка
http://www.wikidata.org/entity/Q258,ЮАР,апартеид,0.713,,Африка
http://www.wikidata.org/entity/Q258,ЮАР,представительная демократия,0.713,,Африка
http://www.wikidata.org/entity/Q258,ЮАР,парламентская республика,0.713,,Африка
http://www.wikidata.org/entity/Q958,Южный Судан,федеративная республика,0.385,,Африка
http://www.wikidata.org/entity/Q766,Ямайка,,0.709,,Северная Америка
http://www.wikidata.org/entity/Q17,Япония,конституционная монархия,0.925,,Азия
