type,typeLabelRu,traditionsCount,exampleTradition,country,countryLabelRu
http://www.wikidata.org/entity/Q2207288,ремесло,3,сычуаньская вышивка,http://www.wikidata.org/entity/Q148,Китай
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q1028,Марокко
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q419,Перу
http://www.wikidata.org/entity/Q2207288,ремесло,3,Хорезская керамика,http://www.wikidata.org/entity/Q218,Румыния
http://www.wikidata.org/entity/Q2207288,ремесло,3,Pantene,http://www.wikidata.org/entity/Q30,США
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q851,Саудовская Аравия
http://www.wikidata.org/entity/Q82821,традиция,3,венесуэльская мифология,http://www.wikidata.org/entity/Q717,Венесуэла
http://www.wikidata.org/entity/Q82821,традиция,3,Древнегреческие мифы о потопе,http://www.wikidata.org/entity/Q41,Греция
http://www.wikidata.org/entity/Q82821,традиция,3,Чичилаки,http://www.wikidata.org/entity/Q230,Грузия
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Йемене,http://www.wikidata.org/entity/Q805,Йемен
http://www.wikidata.org/entity/Q82821,традиция,3,ханбок,http://www.wikidata.org/entity/Q423,КНДР
http://www.wikidata.org/entity/Q82821,традиция,3,Арья самадж в Кении,http://www.wikidata.org/entity/Q114,Кения
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Колумбии,http://www.wikidata.org/entity/Q739,Колумбия
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Южной Азии,http://www.wikidata.org/entity/Q826,Мальдивы
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм на Мальте,http://www.wikidata.org/entity/Q233,Мальта
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Южной Азии,http://www.wikidata.org/entity/Q837,Непал
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Норвегии,http://www.wikidata.org/entity/Q20,Норвегия
http://www.wikidata.org/entity/Q82821,традиция,3,славянское неоязычество,http://www.wikidata.org/entity/Q221,Северная Македония
http://www.wikidata.org/entity/Q82821,традиция,3,славянское неоязычество,http://www.wikidata.org/entity/Q214,Словакия
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Суринаме,http://www.wikidata.org/entity/Q730,Суринам
http://www.wikidata.org/entity/Q82821,традиция,3,Охота на крапивника,http://www.wikidata.org/entity/Q25,Уэльс
http://www.wikidata.org/entity/Q82821,традиция,3,фиджийская мифология,http://www.wikidata.org/entity/Q712,Фиджи
http://www.wikidata.org/entity/Q82821,традиция,3,славянское неоязычество,http://www.wikidata.org/entity/Q236,Черногория
http://www.wikidata.org/entity/Q82821,традиция,3,Минка,http://www.wikidata.org/entity/Q736,Эквадор
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в Эстонии,http://www.wikidata.org/entity/Q191,Эстония
http://www.wikidata.org/entity/Q82821,традиция,3,эфиопская мифология,http://www.wikidata.org/entity/Q115,Эфиопия
http://www.wikidata.org/entity/Q82821,традиция,3,индуизм в ЮАР,http://www.wikidata.org/entity/Q258,ЮАР
http://www.wikidata.org/entity/Q132241,фестиваль,3,,http://www.wikidata.org/entity/Q228,Андорра
http://www.wikidata.org/entity/Q132241,фестиваль,3,,http://www.wikidata.org/entity/Q21203,Аруба
http://www.wikidata.org/entity/Q132241,фестиваль,3,,http://www.wikidata.org/entity/Q965,Буркина-Фасо
